location,fault_strike_min,fault_strike_max,fault_dip_min,fault_dip_max,fault_dip_dir_min,fault_dip_dir_max,fault_name,fault_type,fault_thick_min,fault_thick_max,fault_core_thick_min,fault_core_thick_max,fault_dist_inj,fault_inj_depth_min,fault_inj_depth_max,fault_dens_min,fault_dens_max,fault_poro_min,fault_poro_max,fault_perm_min,fault_perm_max,fault_Kn_min,fault_Kn_max,fault_Ks_min,fault_Ks_max,fault_psi_min,fault_psi_max,fault_E_min,fault_E_max,fault_nu_min,fault_nu_max,fault_phi_min,fault_phi_max
Tournemire underground laboratory,N5E,,60,90,NW,,,RF,,8.5,,2.5,5,270,,,,,,,5.00E-19,,,,,,,,,,,,
Eastern Bavaria,,,,,,,,,,,,,,,,,,,,1.00E-17,1.00E-16,,,,,,,,,,,35,
Eastern Bavaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,
Eastern Bavaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,
Helmholtz Centre Potsdam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matsushiro,,N55W,,,NE,,Matsushiro Earthquake Fault,SS,,,,,,600,,,,0.01,0.1,1.00E-14,1.00E-13,,,,,,,,,,,,
Nojima,,,,,,,Nojima fault,SS,,,,,,,,2400,2600,,0,1.00E-15,1.00E-14,,,,,,,,,,,,17
Tongonan Geothermal field,,N143E,,90,,,Philippine Fault,SS,,,,,0,,1980,,,,,,,,,,,,,,,,,,
Äspö Hard Rock Laboratory,,,,,,,,,,,,,,,,,,,,,,721,,39,,3.4,,,,,,32,33.7
Grimsel ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mont-Terri Laboratory (FS experiment),N66E,,45,,SE,,Main fault,RF,,10,0.8,3,1.5,,344,,,0.12,,,,,,,,,,0.2,0.7,,,22,
Penn. State University,,,,,,,,,,,,,,,,,,,,,,,120,140,160,,,,,,,,
Rongchang gas field ,N20E,,38,,NW,,Huayin Mountain Fault,RF,,,,,,,,,,,,,,,,,,,,,,,,,
Val d'Agri oil field (CM2 well),N160,,40,50,NE,,Monti della Maddalena Fault,NF,,,,,1000,,,,,,,4.36E-15,1.08E-13,,,,,,,,,,,,
Arkansas,N30E,,89,,SW,,Guy-Greenbrier,SS,10,,,,1500,,,,,,,1.00E-13,5.00E-12,,,,,,,22.4,,,,,
"Ashtabula, Ohio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Azle/Reno,Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cleburne, Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cushing, Oklahoma",N59E,,78,,,,Wilzetta Fault,SS,,,,,,,,,,,,,,,,,,,,,,,,,
"Dallas-Fort Worth Airport, Texas",NE-SW,,,,,,DFW airport,NF,,,,,,,,,,,,,,,,,,,,,,,,,
"El Dorado, Arkansas",N120E,,45,50,N,,Hibank graben fault,NF,,,,,200,,,,,,,,,,,,,,,,,,,,
"Fairview, Oklahoma",NE,,70,,SE,,Galena Township Fault,SS,,,,,,,,,,,,,,,,,,,,,,,,,
"Guthrie, Oklahoma",N301E,,,81,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,
"Jones, Oklahoma",,N290E,80,90,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,
"Kern River, Kern County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mentone, West Texas",N285,,56,,,,,NF,,,,,,,,,,,,,,,,,,,,,,,,,
"Painesville (Perry), Ohio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Paradox Valley, Colorado",,,65,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pawnee, Oklahoma",N107,,90,,,,Labette Fault,SS,,,,,,,,,,,,,,,,,,,,,,,,,
"Prague, Oklahoma",N55,,85,,NW,,Wilzetta Fault,SS,,,,,,,,,,,,,,,,,,,,,,,,,
"Raton Basin, Colorado and New Mexico",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Raton Basin, Colorado and New Mexico",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tejon, Central Valley (WWF), Kern County, California",,,,,NW,,Tejon Fault,SS,,,,,,,,,,,,,,,,,,,,,,,,,
"Timpson, East Texas",N127E,N137E,61,65,SW,,,NF,,,,,,,,,,,,,,,,,,,,,,,,,
"Venus, Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Youngstown, Ohio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
