sub_class,rock_formation,rock_strat,rock_fr_dens_min,rock_fr_dens_max,rockDensMin,rock_dens_max,rock_poro_min,rock_poro_max,rock_poro_mean,rock_perm_min,rock_perm_max,rock_perm_mean,rock_E_min,rock_E_max,rock_E_mean,rock_nu_min,rock_nu_max,rock_nu_mean,rock_K_min,rock_K_max,rock_G_min,rock_G_min,rock_biot_min,rock_biot_max,rock_phi_min,rock_phi_max,rock_c_min,rock_c_max,rock_ucs_min,rock_ucs_max,rock_T0_min,rock_T0_max,rock_lambda_min,rock_lambda_max,rock_beta_min,rock_beta_max
Fracking (injection),Duvernay shale,Shale,,,2510,2700,,,0.07,4.11E-19,5.00E-18,2.71E-18,,,50,,,0.25,,,,,,0.4,,,,,,,,,,,,
Fracking (injection),Duvernay shale,Shale,,,2510,2700,,,0.07,4.11E-19,5.00E-18,2.71E-18,,,50,,,0.25,,,,,,0.4,,,,,,,,,,,,
Fracking (injection),"Muskwa, Otter Park and Evie shales",Shale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fracking (injection),"Muskwa, Otter Park and Evie shales",Shale,,,,,0.01,0.12,0.06,1.70E-21,4.28E-20,3.77E-19,34,61,47,0.17,0.25,0.2,17.17,40.67,14.53,24.4,,,,,,,,,,,,,,
Fracking (injection),Upper Montney Trend,Siltstone,,,2615,2615,0.03,0.06,0.05,9.86E-19,4.93E-17,2.51E-17,,,,0.1,0.3,0.2,,,,,,,,,,,,,,,,,,
Fracking (injection),Montney Trend,Siltsone,,,2615,2615,0.03,0.06,0.05,9.86E-19,4.93E-17,2.51E-17,,,26.1,,,0.22,,,,,,,,,,,,,,,,,,
Fracking (injection),Ireton Shale,Shale,,,,,,,,,,4.93E-18,45,65,55,0.26,0.29,0.28,31.25,51.59,17.86,25.19,,,,,,,,,,,,,,
Fracking (injection),Silurian Longmaxi ,Shale,,17.1,,,0.01,0.09,0.05,,,5.00E-20,,,20,,,0.22,,,,,,,,,,,50,100,,,,,,
Fracking (injection),Silurian Longmaxi,Shale,,,2650,2650,,,,,,,58.6,61.1,59.85,,,0.25,,,,32,,,,30,,,,197,,,,,,
Fracking (injection),Wufeng-Longmaxi,Shale,,,2183,2680,0.01,0.09,0.05,,,5.00E-20,,,20,,,0.22,,,,32,,,,,,,50,100,,,,,,
Fracking (injection),Silurian Longmaxi,"Shale, Marlstone",,,,,0.01,0.09,0.05,,,5.00E-20,7,50,20,,,0.22,,,,,,,,,,,50,100,,,,,,
Fracking (injection) and deep well injection for salt mining,Changing Anticline Structure,Rock Salt,,,,,,,0.15,,,1.00E-13,,,,,,0.25,,,,,,,,,,,,,,,,,,
Fracking (injection),Silurian Longmaxi,Shale,,,2650,2650,0.01,0.09,0.05,,,5.00E-20,7,50,20,,,0.22,,,,,,,,,,,50,100,,,,,,
Fracking (injection),,Shale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fracking (injection),,Shale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fracking (injection),Bowland,Shale,,,2590,2640,0.02,0.05,0.03,1.00E-20,1.00E-19,5.50E-20,16.5,52,34.25,0.11,0.31,0.21,7.05,45.61,7.43,19.85,,,43,48.6,10,17.6,18,108,3,17,,,,
Fracking (injection),Bowland,Shale,,,2590,2640,0.02,0.05,0.03,1.00E-20,1.00E-19,5.50E-20,16.5,52,34.25,0.11,0.31,0.21,7.05,45.61,7.43,19.85,,,43,48.6,10,17.6,18,108,3,17,,,,
Fracking (injection),Bowland (Lower),Shale,,,2590,2640,0.02,0.05,0.03,1.00E-20,1.00E-19,5.50E-20,16.5,52,34.25,0.11,0.31,0.21,7.05,45.61,7.43,19.85,,,43,48.6,10,17.6,18,108,3,17,,,,
Fracking (injection),Bowland (Upper),Shale,,,2590,2640,0.02,0.05,0.03,1.00E-20,1.00E-19,5.50E-20,16.5,52,34.25,0.11,0.31,0.21,7.05,45.61,7.43,19.85,,,43,48.6,10,17.6,18,108,3,17,,,,
